Size / nm	Number	Concentration / cm-3	Volume / nm^3	Area / nm^2
6.474E+1	1.500E+1	1.672E+5	2.131E+6	4.938E+4
6.712E+1	2.400E+1	2.676E+5	3.799E+6	8.491E+4
6.957E+1	2.000E+1	2.230E+5	3.527E+6	7.603E+4
7.212E+1	1.500E+1	1.672E+5	2.946E+6	6.128E+4
7.476E+1	1.800E+1	2.007E+5	3.939E+6	7.902E+4
7.750E+1	1.300E+1	1.449E+5	3.169E+6	6.133E+4
8.034E+1	1.000E+1	1.115E+5	2.715E+6	5.070E+4
8.329E+1	2.100E+1	2.341E+5	6.352E+6	1.144E+5
8.634E+1	2.400E+1	2.676E+5	8.087E+6	1.405E+5
8.950E+1	2.100E+1	2.341E+5	7.883E+6	1.321E+5
9.278E+1	2.000E+1	2.230E+5	8.363E+6	1.352E+5
9.618E+1	2.300E+1	2.564E+5	1.071E+7	1.671E+5
9.970E+1	2.700E+1	3.010E+5	1.401E+7	2.108E+5
1.034E+2	2.900E+1	3.233E+5	1.676E+7	2.433E+5
1.071E+2	4.500E+1	5.017E+5	2.898E+7	4.057E+5
1.111E+2	4.100E+1	4.571E+5	2.941E+7	3.972E+5
1.151E+2	4.700E+1	5.240E+5	3.756E+7	4.893E+5
1.193E+2	4.400E+1	4.906E+5	3.917E+7	4.922E+5
1.237E+2	4.300E+1	4.794E+5	4.264E+7	5.170E+5
1.283E+2	4.400E+1	4.906E+5	4.860E+7	5.684E+5
1.330E+2	5.300E+1	5.909E+5	6.522E+7	7.358E+5
1.378E+2	6.800E+1	7.581E+5	9.321E+7	1.014E+6
1.429E+2	6.900E+1	7.693E+5	1.054E+8	1.106E+6
1.481E+2	6.900E+1	7.693E+5	1.174E+8	1.189E+6
1.535E+2	6.200E+1	6.912E+5	1.175E+8	1.148E+6
1.592E+2	8.000E+1	8.919E+5	1.689E+8	1.592E+6
1.650E+2	9.700E+1	1.081E+6	2.281E+8	2.074E+6
1.710E+2	7.000E+1	7.804E+5	1.834E+8	1.608E+6
1.773E+2	1.150E+2	1.282E+6	3.356E+8	2.839E+6
1.838E+2	1.100E+2	1.226E+6	3.576E+8	2.918E+6
1.905E+2	1.150E+2	1.282E+6	4.164E+8	3.279E+6
1.975E+2	8.900E+1	9.923E+5	3.590E+8	2.727E+6
2.047E+2	1.160E+2	1.293E+6	5.212E+8	3.819E+6
2.122E+2	1.170E+2	1.304E+6	5.857E+8	4.139E+6
2.200E+2	1.470E+2	1.639E+6	8.197E+8	5.589E+6
2.281E+2	1.390E+2	1.550E+6	8.634E+8	5.679E+6
2.364E+2	1.420E+2	1.583E+6	9.826E+8	6.234E+6
2.451E+2	1.630E+2	1.817E+6	1.256E+9	7.690E+6
2.541E+2	1.640E+2	1.828E+6	1.408E+9	8.314E+6
2.634E+2	1.640E+2	1.828E+6	1.569E+9	8.935E+6
2.730E+2	1.550E+2	1.728E+6	1.652E+9	9.074E+6
2.830E+2	1.460E+2	1.628E+6	1.733E+9	9.185E+6
2.934E+2	1.640E+2	1.828E+6	2.169E+9	1.109E+7
3.041E+2	1.600E+2	1.784E+6	2.357E+9	1.162E+7
3.153E+2	1.670E+2	1.862E+6	2.740E+9	1.304E+7
3.268E+2	1.610E+2	1.795E+6	2.943E+9	1.351E+7
3.388E+2	1.190E+2	1.327E+6	2.423E+9	1.073E+7
3.512E+2	1.210E+2	1.349E+6	2.745E+9	1.172E+7
3.641E+2	1.280E+2	1.427E+6	3.234E+9	1.333E+7
3.774E+2	9.900E+1	1.104E+6	2.787E+9	1.108E+7
3.912E+2	8.200E+1	9.142E+5	2.571E+9	9.858E+6
4.056E+2	5.900E+1	6.578E+5	2.061E+9	7.622E+6
4.204E+2	6.500E+1	7.247E+5	2.529E+9	9.024E+6
4.358E+2	3.800E+1	4.237E+5	1.647E+9	5.669E+6
4.518E+2	3.000E+1	3.345E+5	1.449E+9	4.810E+6
4.683E+2	2.500E+1	2.787E+5	1.345E+9	4.307E+6
4.855E+2	1.800E+1	2.007E+5	1.079E+9	3.332E+6
5.033E+2	1.300E+1	1.449E+5	8.678E+8	2.586E+6
5.217E+2	1.000E+1	1.115E+5	7.436E+8	2.138E+6
5.408E+2	1.400E+1	1.561E+5	1.160E+9	3.216E+6
5.607E+2	1.000E+1	1.115E+5	9.228E+8	2.469E+6
5.812E+2	7.000E+0	7.804E+4	7.195E+8	1.857E+6
6.025E+2	3.000E+0	3.345E+4	3.435E+8	8.553E+5
6.246E+2	3.000E+0	3.345E+4	3.827E+8	9.191E+5
6.474E+2	3.000E+0	3.345E+4	4.263E+8	9.876E+5
6.712E+2	4.000E+0	4.460E+4	6.332E+8	1.415E+6
6.957E+2	3.000E+0	3.345E+4	5.290E+8	1.141E+6
7.212E+2	2.000E+0	2.230E+4	3.929E+8	8.171E+5
7.476E+2	2.000E+0	2.230E+4	4.376E+8	8.780E+5
7.750E+2	3.000E+0	3.345E+4	7.313E+8	1.415E+6
8.034E+2	2.000E+0	2.230E+4	5.431E+8	1.014E+6
8.329E+2	3.000E+0	3.345E+4	9.075E+8	1.634E+6
8.634E+2	1.000E+0	1.115E+4	3.370E+8	5.854E+5
8.950E+2	1.000E+0	1.115E+4	3.754E+8	6.291E+5
9.278E+2	0.000E+0	0.000E+0	0.000E+0	0.000E+0
9.618E+2	1.000E+0	1.115E+4	4.658E+8	7.265E+5
9.970E+2	3.000E+0	3.345E+4	1.557E+9	2.342E+6
1.034E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.071E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.111E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.151E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.193E+3	1.000E+0	1.115E+4	8.901E+8	1.119E+6
1.237E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.283E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.330E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.378E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.429E+3	1.000E+0	1.115E+4	1.527E+9	1.603E+6
1.481E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.535E+3	1.000E+0	1.115E+4	1.895E+9	1.851E+6
1.592E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.650E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.710E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.773E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.838E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.905E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.975E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.047E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.122E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.200E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.281E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.364E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.451E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.541E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.634E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.730E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.830E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.934E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.041E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.153E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.268E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.388E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.512E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.641E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.774E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.912E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.056E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.204E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.358E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.518E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.683E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.855E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.033E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.217E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.408E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.607E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.812E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
6.025E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
